Gene_Name,GO_ID,Organism,GO_Name
Autophagy-related protein 13,GO:0000423,NCBITaxon:9796,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:45351,mitophagy
PX domain-containing protein (Fragment),GO:0000423,NCBITaxon:45351,mitophagy
Sequestosome-1,GO:0000423,NCBITaxon:45351,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3694,mitophagy
Microtubule-associated proteins 1A_1B light chain 3C,GO:0000423,NCBITaxon:45351,mitophagy
Uncharacterized protein,GO:0000423,NCBITaxon:45351,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3711,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:4081,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3880,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:6238,mitophagy
Protein CBG05836,GO:0000423,NCBITaxon:6238,mitophagy
Ubiquitin-like modifier-activating enzyme ATG7,GO:0000423,NCBITaxon:39947,mitophagy
Os01g0681400 protein,GO:0000423,NCBITaxon:39947,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:4081,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:4081,mitophagy
Os04g0538700 protein,GO:0000423,NCBITaxon:39947,mitophagy
Autophagy-related protein 13a,GO:0000423,NCBITaxon:4577,mitophagy
Autophagy-related protein 13 N-terminal domain-containing protein,GO:0000423,NCBITaxon:71139,mitophagy
Autophagy related 14,GO:0000423,NCBITaxon:9595,mitophagy
Autophagy-related protein 13a,GO:0000423,NCBITaxon:4577,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:71139,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:71139,mitophagy
Ubiquitin-like modifier-activating enzyme ATG7,GO:0000423,NCBITaxon:71139,mitophagy
Beclin-1-like protein,GO:0000423,NCBITaxon:71139,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:71139,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:71139,mitophagy
Protein RAE1,GO:0000423,NCBITaxon:4577,mitophagy
Uncharacterized protein,GO:0000423,NCBITaxon:71139,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:13333,mitophagy
GABA type A receptor-associated protein,GO:0000423,NCBITaxon:9595,mitophagy
Autophagy related 10,GO:0000423,NCBITaxon:9595,mitophagy
Ubiquitin-like modifier-activating enzyme ATG7,GO:0000423,NCBITaxon:3708,mitophagy
Ubiquitin-like-conjugating enzyme ATG10,GO:0000423,NCBITaxon:8355,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:9595,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:4155,mitophagy
non-specific serine_threonine protein kinase,GO:0000423,NCBITaxon:8355,mitophagy
Ubiquitin-like-conjugating enzyme ATG10,GO:0000423,NCBITaxon:7668,mitophagy
Beclin-1,GO:0000423,NCBITaxon:9595,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:9595,mitophagy
non-specific serine_threonine protein kinase,GO:0000423,NCBITaxon:9595,mitophagy
Microtubule associated protein 1 light chain 3 gamma,GO:0000423,NCBITaxon:9595,mitophagy
Serine_threonine-protein kinase ULK3,GO:0000423,NCBITaxon:9595,mitophagy
(rape) hypothetical protein,GO:0000423,NCBITaxon:3708,mitophagy
Sorting nexin family member 30,GO:0000423,NCBITaxon:9595,mitophagy
Autophagy-related protein 9A-like,GO:0000423,NCBITaxon:7739,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:8355,mitophagy
Microtubule-associated proteins 1A_1B light chain 3B,GO:0000423,NCBITaxon:8355,mitophagy
Gamma-aminobutyric acid receptor-associated protein-like 2,GO:0000423,NCBITaxon:8355,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3708,mitophagy
Activating molecule in BECN1-regulated autophagy protein 1 isoform X1,GO:0000423,NCBITaxon:8355,mitophagy
Beclin-1-like protein,GO:0000423,NCBITaxon:4155,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:3847,mitophagy
Uncharacterized protein,GO:0000423,NCBITaxon:105231,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:9595,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:4155,mitophagy
Microtubule associated protein 1 light chain 3 beta,GO:0000423,NCBITaxon:9595,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:4155,mitophagy
Uncharacterized protein,GO:0000423,NCBITaxon:9615,mitophagy
Ubiquitin-like modifier-activating enzyme ATG7,GO:0000423,NCBITaxon:4155,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:9595,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:9595,mitophagy
Sorting nexin-30-like,GO:0000423,NCBITaxon:8355,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:29655,mitophagy
Sorting nexin 7,GO:0000423,NCBITaxon:9595,mitophagy
Sequestosome 1,GO:0000423,NCBITaxon:9595,mitophagy
Ubiquitin-like modifier-activating enzyme ATG7,GO:0000423,NCBITaxon:29655,mitophagy
GABA type A receptor associated protein like 1,GO:0000423,NCBITaxon:9595,mitophagy
E3 ubiquitin-protein ligase parkin-like,GO:0000423,NCBITaxon:7739,mitophagy
Autophagy related 10,GO:0000423,NCBITaxon:9913,mitophagy
Autophagy-related protein 13 N-terminal domain-containing protein,GO:0000423,NCBITaxon:4155,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:29655,mitophagy
Autophagy-related protein 13,GO:0000423,NCBITaxon:9595,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:4155,mitophagy
ZZ-type domain-containing protein,GO:0000423,NCBITaxon:7165,mitophagy
Uncharacterized protein,GO:0000423,NCBITaxon:6669,mitophagy
Serine_threonine-protein kinase,GO:0000423,NCBITaxon:9685,mitophagy
Sorting nexin family member 30,GO:0000423,NCBITaxon:9913,mitophagy
MAP1LC3C protein,GO:0000423,NCBITaxon:9913,mitophagy
Microtubule associated protein 1 light chain 3 gamma,GO:0000423,NCBITaxon:9685,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:4555,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:4555,mitophagy
GABA type A receptor associated protein like 1,GO:0000423,NCBITaxon:13616,mitophagy
Ubiquitin-like modifier-activating enzyme ATG7,GO:0000423,NCBITaxon:9913,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:71139,mitophagy
Uncharacterized protein,GO:0000423,NCBITaxon:71139,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:294381,mitophagy
"Serine_threonine kinase 3, putative",GO:0000423,NCBITaxon:294381,mitophagy
Autophagy and beclin 1 regulator 1,GO:0000423,NCBITaxon:9598,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:9913,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:7719,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:8090,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:9823,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:3055,mitophagy
Beclin 1,GO:0000423,NCBITaxon:367110,mitophagy
Autophagy-related protein 13 N-terminal domain-containing protein,GO:0000423,NCBITaxon:71139,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:3055,mitophagy
Putative ATG8_AUT7_APG8_PAZ2,GO:0000423,NCBITaxon:5664,mitophagy
Putative ATG8_AUT7_APG8_PAZ2,GO:0000423,NCBITaxon:5664,mitophagy
Putative ATG8_AUT7_APG8_PAZ2,GO:0000423,NCBITaxon:5664,mitophagy
"Chromosome undetermined scaffold_78, whole genome shotgun sequence",GO:0000423,NCBITaxon:5888,mitophagy
"Chromosome undetermined scaffold_55, whole genome shotgun sequence",GO:0000423,NCBITaxon:5888,mitophagy
Autophagy-related protein 13a,GO:0000423,NCBITaxon:4432,mitophagy
"Chromosome undetermined scaffold_57, whole genome shotgun sequence",GO:0000423,NCBITaxon:5888,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:5888,mitophagy
"Chromosome undetermined scaffold_55, whole genome shotgun sequence",GO:0000423,NCBITaxon:5888,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:39947,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:5664,mitophagy
"Chromosome undetermined scaffold_60, whole genome shotgun sequence",GO:0000423,NCBITaxon:5888,mitophagy
"Chromosome undetermined scaffold_60, whole genome shotgun sequence",GO:0000423,NCBITaxon:5888,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:5888,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:5888,mitophagy
Autophagy related 14,GO:0000423,NCBITaxon:9685,mitophagy
Autophagy-related protein 4,GO:0000423,NCBITaxon:237631,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:5888,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:5888,mitophagy
PX domain-containing protein,GO:0000423,NCBITaxon:6669,mitophagy
ZZ-type domain-containing protein,GO:0000423,NCBITaxon:6669,mitophagy
Autophagy-related protein 8,GO:0000423,NCBITaxon:237631,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:4432,mitophagy
Ubiquitin-like modifier-activating enzyme ATG7,GO:0000423,NCBITaxon:4432,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:3694,mitophagy
Autophagy-related protein 6,GO:0000423,NCBITaxon:237631,mitophagy
Uncharacterized protein,GO:0000423,NCBITaxon:3694,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:237631,mitophagy
Autophagy-related protein 13 N-terminal domain-containing protein,GO:0000423,NCBITaxon:3694,mitophagy
PX domain-containing protein,GO:0000423,NCBITaxon:237631,mitophagy
Ubiquitin-like modifier-activating enzyme ATG7,GO:0000423,NCBITaxon:237631,mitophagy
GABA(A) receptor-associated protein a,GO:0000423,NCBITaxon:7955,mitophagy
GABA(A) receptor-associated protein b,GO:0000423,NCBITaxon:7955,mitophagy
wu:fj30f06,GO:0000423,NCBITaxon:7955,mitophagy
ATG7 autophagy related 7 homolog (S. cerevisiae),GO:0000423,NCBITaxon:7955,mitophagy
ATG7 autophagy related 7 homolog (S. cerevisiae),GO:0000423,NCBITaxon:7955,mitophagy
"LPS-responsive vesicle trafficking, beach and anchor containing",GO:0000423,NCBITaxon:7955,mitophagy
autophagy related 14,GO:0000423,NCBITaxon:7955,mitophagy
autophagy related 9B,GO:0000423,NCBITaxon:7955,mitophagy
sequestosome 1,GO:0000423,NCBITaxon:7955,mitophagy
ATG9 autophagy related 9 homolog A (S. cerevisiae),GO:0000423,NCBITaxon:7955,mitophagy
Autophagy-related protein 8i,GO:0000423,NCBITaxon:3702,mitophagy
Autophagy-related protein 8b,GO:0000423,NCBITaxon:3702,mitophagy
,GO:0000423,NCBITaxon:559292,mitophagy
"autophagy related 4D, cysteine peptidase a",GO:0000423,NCBITaxon:7955,mitophagy
"autophagy related 4D, cysteine peptidase b",GO:0000423,NCBITaxon:7955,mitophagy
"microtubule-associated protein 1 light chain 3 gamma, like",GO:0000423,NCBITaxon:7955,mitophagy
NIP3 homolog,GO:0000423,NCBITaxon:6239,mitophagy
nipsnap homolog 3B,GO:0000423,NCBITaxon:10090,mitophagy
"autophagy related 4A, pseudogene",GO:0000423,NCBITaxon:10090,mitophagy
UBX domain protein 6,GO:0000423,NCBITaxon:10090,mitophagy
BCL2/adenovirus E1B interacting protein 3,GO:0000423,NCBITaxon:10090,mitophagy
BCL2/adenovirus E1B interacting protein 3,GO:0000423,NCBITaxon:10090,mitophagy
valosin containing protein,GO:0000423,NCBITaxon:10090,mitophagy
unc-51 like kinase 1,GO:0000423,NCBITaxon:10090,mitophagy
unc-51 like kinase 1,GO:0000423,NCBITaxon:10090,mitophagy
sorting nexin 7,GO:0000423,NCBITaxon:10090,mitophagy
reticulophagy regulator 1,GO:0000423,NCBITaxon:10090,mitophagy
gamma-aminobutyric acid receptor associated protein,GO:0000423,NCBITaxon:10090,mitophagy
O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase),GO:0000423,NCBITaxon:10090,mitophagy
autophagy related 5,GO:0000423,NCBITaxon:10090,mitophagy
ring-box 1,GO:0000423,NCBITaxon:10090,mitophagy
"beclin 1, autophagy related",GO:0000423,NCBITaxon:10090,mitophagy
"beclin 1, autophagy related",GO:0000423,NCBITaxon:10090,mitophagy
"beclin 1, autophagy related",GO:0000423,NCBITaxon:10090,mitophagy
"autophagy related 4B, cysteine peptidase",GO:0000423,NCBITaxon:10090,mitophagy
"autophagy related 4B, cysteine peptidase",GO:0000423,NCBITaxon:10090,mitophagy
"autophagy related 4B, cysteine peptidase",GO:0000423,NCBITaxon:10090,mitophagy
autophagy related 9A,GO:0000423,NCBITaxon:10090,mitophagy
eukaryotic translation initiation factor 2 alpha kinase 1,GO:0000423,NCBITaxon:10090,mitophagy
PTEN induced putative kinase 1,GO:0000423,NCBITaxon:10090,mitophagy
PTEN induced putative kinase 1,GO:0000423,NCBITaxon:10090,mitophagy
PTEN induced putative kinase 1,GO:0000423,NCBITaxon:10090,mitophagy
PTEN induced putative kinase 1,GO:0000423,NCBITaxon:10090,mitophagy
PTEN induced putative kinase 1,GO:0000423,NCBITaxon:10090,mitophagy
parkin RBR E3 ubiquitin protein ligase,GO:0000423,NCBITaxon:10090,mitophagy
parkin RBR E3 ubiquitin protein ligase,GO:0000423,NCBITaxon:10090,mitophagy
parkin RBR E3 ubiquitin protein ligase,GO:0000423,NCBITaxon:10090,mitophagy
parkin RBR E3 ubiquitin protein ligase,GO:0000423,NCBITaxon:10090,mitophagy
parkin RBR E3 ubiquitin protein ligase,GO:0000423,NCBITaxon:10090,mitophagy
parkin RBR E3 ubiquitin protein ligase,GO:0000423,NCBITaxon:10090,mitophagy
parkin RBR E3 ubiquitin protein ligase,GO:0061734,NCBITaxon:10090,mitophagy
parkin RBR E3 ubiquitin protein ligase,GO:0061734,NCBITaxon:10090,mitophagy
parkin RBR E3 ubiquitin protein ligase,GO:0000423,NCBITaxon:10090,mitophagy
mitofusin 2,GO:0061734,NCBITaxon:10090,mitophagy
FUN14 domain containing 1,GO:0000423,NCBITaxon:10090,mitophagy
FUN14 domain containing 1,GO:0000423,NCBITaxon:10090,mitophagy
SMAD specific E3 ubiquitin protein ligase 1,GO:0061734,NCBITaxon:10090,mitophagy
unc-51 like kinase 2,GO:0000423,NCBITaxon:10090,mitophagy
LPS-responsive beige-like anchor,GO:0000423,NCBITaxon:10090,mitophagy
LPS-responsive beige-like anchor,GO:0000423,NCBITaxon:10090,mitophagy
LPS-responsive beige-like anchor,GO:0000423,NCBITaxon:10090,mitophagy
beclin 2,GO:0000423,NCBITaxon:10090,mitophagy
"autophagy related 4A, cysteine peptidase",GO:0000423,NCBITaxon:10090,mitophagy
PTC7 protein phosphatase homolog,GO:0000423,NCBITaxon:10090,mitophagy
GABA type A receptor associated protein like 2,GO:0000423,NCBITaxon:10090,mitophagy
translocase of inner mitochondrial membrane 23,GO:0061734,NCBITaxon:10090,mitophagy
nipsnap homolog 3A,GO:0000423,NCBITaxon:10090,mitophagy
Optineurin,GO:0061734,NCBITaxon:9823,mitophagy
Protein deacetylase HDAC6,GO:0061734,NCBITaxon:9823,mitophagy
microtubule-associated protein 1 light chain 3 alpha,GO:0000423,NCBITaxon:10090,mitophagy
prohibitin 2,GO:0000423,NCBITaxon:10090,mitophagy
prohibitin 2,GO:0000423,NCBITaxon:10090,mitophagy
prohibitin 2,GO:0000423,NCBITaxon:10090,mitophagy
Serine/threonine-protein kinase ULK2,GO:0000423,NCBITaxon:9606,mitophagy
Gamma-aminobutyric acid receptor-associated protein-like 3,GO:0000423,NCBITaxon:9606,mitophagy
Arfaptin-2,GO:0000423,NCBITaxon:9606,mitophagy
FUN14 domain-containing protein 1,GO:0000423,NCBITaxon:9606,mitophagy
UBX domain-containing protein 6,GO:0000423,NCBITaxon:9606,mitophagy
UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,GO:0000423,NCBITaxon:9606,mitophagy
UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,GO:0000423,NCBITaxon:9606,mitophagy
Mitochondrial import inner membrane translocase subunit Tim23,GO:0061734,NCBITaxon:9606,mitophagy
BCL2/adenovirus E1B 19 kDa protein-interacting protein 3,GO:0000423,NCBITaxon:9606,mitophagy
BCL2/adenovirus E1B 19 kDa protein-interacting protein 3,GO:0000423,NCBITaxon:9606,mitophagy
Microtubule-associated protein 1 light chain 3 alpha,GO:0000423,NCBITaxon:9606,mitophagy
Protein NipSnap homolog 2,GO:0000423,NCBITaxon:9606,mitophagy
Protein NipSnap homolog 2,GO:0000423,NCBITaxon:9606,mitophagy
Ubiquitin-like modifier-activating enzyme ATG7,GO:0000423,NCBITaxon:9606,mitophagy
Ubiquitin-like modifier-activating enzyme ATG7,GO:0000423,NCBITaxon:9606,mitophagy
Serine/threonine-protein kinase ULK1,GO:0000423,NCBITaxon:9606,mitophagy
Protein NipSnap homolog 3A,GO:0000423,NCBITaxon:9606,mitophagy
Optineurin,GO:0061734,NCBITaxon:9606,mitophagy
Protein deacetylase HDAC6,GO:0061734,NCBITaxon:9606,mitophagy
Mitofusin-2,GO:0061734,NCBITaxon:9606,mitophagy
Mitofusin-2,GO:0061734,NCBITaxon:9606,mitophagy
Lipopolysaccharide-responsive and beige-like anchor protein,GO:0000423,NCBITaxon:9606,mitophagy
Lipopolysaccharide-responsive and beige-like anchor protein,GO:0000423,NCBITaxon:9606,mitophagy
Cysteine protease ATG4C,GO:0000423,NCBITaxon:9606,mitophagy
Cysteine protease ATG4B,GO:0000423,NCBITaxon:9606,mitophagy
Cysteine protease ATG4B,GO:0000423,NCBITaxon:9606,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:9606,mitophagy
Gamma-aminobutyric acid receptor-associated protein,GO:0000423,NCBITaxon:9606,mitophagy
Protein NipSnap homolog 1,GO:0000423,NCBITaxon:9606,mitophagy
Protein NipSnap homolog 1,GO:0000423,NCBITaxon:9606,mitophagy
Protein NipSnap homolog 1,GO:0000423,NCBITaxon:9606,mitophagy
E3 ubiquitin-protein ligase parkin,GO:0000423,NCBITaxon:9606,mitophagy
E3 ubiquitin-protein ligase parkin,GO:0000423,NCBITaxon:9606,mitophagy
E3 ubiquitin-protein ligase parkin,GO:0000423,NCBITaxon:9606,mitophagy
E3 ubiquitin-protein ligase parkin,GO:0000423,NCBITaxon:9606,mitophagy
E3 ubiquitin-protein ligase parkin,GO:0000423,NCBITaxon:9606,mitophagy
E3 ubiquitin-protein ligase parkin,GO:0061734,NCBITaxon:9606,mitophagy
E3 ubiquitin-protein ligase parkin,GO:0000423,NCBITaxon:9606,mitophagy
NIPSNAP domain-containing protein,GO:0000423,NCBITaxon:9823,mitophagy
UBX domain-containing protein 6,GO:0000423,NCBITaxon:9823,mitophagy
Serine/threonine-protein kinase ULK3,GO:0000423,NCBITaxon:9606,mitophagy
Prohibitin-2,GO:0000423,NCBITaxon:9606,mitophagy
Prohibitin-2,GO:0000423,NCBITaxon:9606,mitophagy
"Serine/threonine-protein kinase PINK1, mitochondrial",GO:0000423,NCBITaxon:9606,mitophagy
"Serine/threonine-protein kinase PINK1, mitochondrial",GO:0000423,NCBITaxon:9606,mitophagy
"Serine/threonine-protein kinase PINK1, mitochondrial",GO:0000423,NCBITaxon:9606,mitophagy
Bcl-2-like protein 13,GO:0000423,NCBITaxon:9606,mitophagy
Rho GTPase-activating protein 26,GO:0000423,NCBITaxon:9823,mitophagy
Activating molecule in BECN1-regulated autophagy protein 1,GO:0000423,NCBITaxon:9823,mitophagy
UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,GO:0000423,NCBITaxon:9823,mitophagy
Cysteine protease ATG4D,GO:0000423,NCBITaxon:9823,mitophagy
Cysteine protease ATG4A,GO:0000423,NCBITaxon:9606,mitophagy
Activating molecule in BECN1-regulated autophagy protein 1,GO:0000423,NCBITaxon:9606,mitophagy
Activating molecule in BECN1-regulated autophagy protein 1,GO:0000423,NCBITaxon:9606,mitophagy
Activating molecule in BECN1-regulated autophagy protein 1,GO:0000423,NCBITaxon:9606,mitophagy
Activating molecule in BECN1-regulated autophagy protein 1,GO:0000423,NCBITaxon:9606,mitophagy
Activating molecule in BECN1-regulated autophagy protein 1,GO:0000423,NCBITaxon:9606,mitophagy
"Serine/threonine-protein kinase PINK1, mitochondrial",GO:0000423,NCBITaxon:9615,mitophagy
Optineurin,GO:0061734,NCBITaxon:9615,mitophagy
Autophagy related 14,GO:0000423,NCBITaxon:9615,mitophagy
Nipsnap homolog 1,GO:0000423,NCBITaxon:9615,mitophagy
Nipsnap homolog 1,GO:0000423,NCBITaxon:9615,mitophagy
Nipsnap homolog 1,GO:0000423,NCBITaxon:9615,mitophagy
Cysteine protease ATG4D,GO:0000423,NCBITaxon:9615,mitophagy
E3 ubiquitin-protein ligase parkin,GO:0000423,NCBITaxon:9615,mitophagy
E3 ubiquitin-protein ligase parkin,GO:0000423,NCBITaxon:9615,mitophagy
E3 ubiquitin-protein ligase parkin,GO:0000423,NCBITaxon:9615,mitophagy
E3 ubiquitin-protein ligase parkin,GO:0061734,NCBITaxon:9615,mitophagy
Protein deacetylase HDAC6,GO:0061734,NCBITaxon:9615,mitophagy
BCL2 interacting protein 3,GO:0000423,NCBITaxon:9615,mitophagy
Glucosylceramidase,GO:0000423,NCBITaxon:9615,mitophagy
RAB7A interacting MON1-CCZ1 complex subunit 1,GO:0000423,NCBITaxon:9615,mitophagy
RAB7A interacting MON1-CCZ1 complex subunit 1,GO:0000423,NCBITaxon:9615,mitophagy
C-type lectin domain containing 16A,GO:0000423,NCBITaxon:9615,mitophagy
NIPSNAP domain-containing protein,GO:0000423,NCBITaxon:9615,mitophagy
Arfaptin-2,GO:0000423,NCBITaxon:9913,mitophagy
Mitochondrial import inner membrane translocase subunit Tim23,GO:0061734,NCBITaxon:9913,mitophagy
NIPSNAP domain-containing protein,GO:0000423,NCBITaxon:9615,mitophagy
UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,GO:0000423,NCBITaxon:9615,mitophagy
"Serine/threonine-protein kinase PINK1, mitochondrial",GO:0000423,NCBITaxon:9913,mitophagy
Eukaryotic translation initiation factor 2 subunit 1,GO:0000423,NCBITaxon:9615,mitophagy
Activating molecule in BECN1-regulated autophagy protein 1,GO:0000423,NCBITaxon:9615,mitophagy
Transitional endoplasmic reticulum ATPase,GO:0000423,NCBITaxon:9615,mitophagy
FUN14 domain containing 1,GO:0000423,NCBITaxon:9615,mitophagy
NIPSNAP domain-containing protein,GO:0000423,NCBITaxon:9913,mitophagy
Glucosylceramidase,GO:0000423,NCBITaxon:9913,mitophagy
Autophagy-related protein 13,GO:0000423,NCBITaxon:9913,mitophagy
AH domain-containing protein,GO:0000423,NCBITaxon:9913,mitophagy
Activating molecule in BECN1-regulated autophagy protein 1,GO:0000423,NCBITaxon:9913,mitophagy
RAB7A interacting MON1-CCZ1 complex subunit 1,GO:0000423,NCBITaxon:9913,mitophagy
RAB7A interacting MON1-CCZ1 complex subunit 1,GO:0000423,NCBITaxon:9913,mitophagy
Autophagy related 14,GO:0000423,NCBITaxon:9913,mitophagy
NIPSNAP domain-containing protein,GO:0000423,NCBITaxon:9913,mitophagy
Eukaryotic translation initiation factor 2 subunit 1,GO:0000423,NCBITaxon:9913,mitophagy
Eukaryotic translation initiation factor 2 subunit 1,GO:0000423,NCBITaxon:9913,mitophagy
UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,GO:0000423,NCBITaxon:9913,mitophagy
E3 ubiquitin-protein ligase parkin,GO:0000423,NCBITaxon:9913,mitophagy
"Serine/threonine-protein kinase PINK1, mitochondrial",GO:0000423,NCBITaxon:9031,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:9615,mitophagy
RAB7A-interacting MON1-CCZ1 complex subunit 1,GO:0000423,NCBITaxon:9606,mitophagy
RAB7A-interacting MON1-CCZ1 complex subunit 1,GO:0000423,NCBITaxon:9606,mitophagy
Eukaryotic translation initiation factor 2 subunit 1,GO:0000423,NCBITaxon:9606,mitophagy
VCP-UBXN6 AAA ATPase complex,GO:0000423,NCBITaxon:9606,mitophagy
Beclin-1,GO:0000423,NCBITaxon:9606,mitophagy
Beclin-1,GO:0000423,NCBITaxon:9606,mitophagy
Beclin-1,GO:0000423,NCBITaxon:9606,mitophagy
refractory to sigma P,GO:0000423,NCBITaxon:7227,mitophagy
Ubiquitin activating enzyme 1,GO:0000423,NCBITaxon:7227,mitophagy
Autophagy-related 4b,GO:0000423,NCBITaxon:7227,mitophagy
Autophagy-related 4b,GO:0000423,NCBITaxon:7227,mitophagy
Vacuolar protein sorting 13D,GO:0000423,NCBITaxon:7227,mitophagy
Vacuolar protein sorting 13D,GO:0000423,NCBITaxon:7227,mitophagy
,GO:0000423,NCBITaxon:7227,mitophagy
,GO:0000423,NCBITaxon:7227,mitophagy
,GO:0000423,NCBITaxon:7227,mitophagy
Autophagy-related 18a,GO:0000423,NCBITaxon:7227,mitophagy
Autophagy-related 18a,GO:0000423,NCBITaxon:7227,mitophagy
PX domain-containing protein,GO:0000423,NCBITaxon:9031,mitophagy
Beclin-1,GO:0000423,NCBITaxon:9031,mitophagy
Microtubule associated protein 1 light chain 3 gamma,GO:0000423,NCBITaxon:9031,mitophagy
Autophagy-related protein 13,GO:0000423,NCBITaxon:9031,mitophagy
Microtubule associated protein 1 light chain 3 alpha,GO:0000423,NCBITaxon:9031,mitophagy
Serine_threonine-protein kinase ULK3,GO:0000423,NCBITaxon:9031,mitophagy
Rho GTPase-activating protein 26,GO:0000423,NCBITaxon:9031,mitophagy
Prohibitin-2,GO:0000423,NCBITaxon:9031,mitophagy
Prohibitin-2,GO:0000423,NCBITaxon:9031,mitophagy
NIPSNAP domain-containing protein,GO:0000423,NCBITaxon:9031,mitophagy
Ubiquitin-like modifier-activating enzyme ATG7,GO:0000423,NCBITaxon:9031,mitophagy
Beclin-1,GO:0000423,NCBITaxon:9031,mitophagy
non-specific serine/threonine protein kinase,GO:0000423,NCBITaxon:9031,mitophagy
Prohibitin-2,GO:0000423,NCBITaxon:9031,mitophagy
BAKOR regulator,GO:0000423,NCBITaxon:9031,mitophagy
BAKOR regulator,GO:0000423,NCBITaxon:9031,mitophagy
BCL2/adenovirus E1B 19 kDa protein-interacting protein 3,GO:0000423,NCBITaxon:9031,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:9031,mitophagy
NIPSNAP domain-containing protein,GO:0000423,NCBITaxon:9031,mitophagy
Lipopolysaccharide-responsive and beige-like anchor protein,GO:0000423,NCBITaxon:9031,mitophagy
E3 ubiquitin-protein ligase parkin,GO:0000423,NCBITaxon:9031,mitophagy
E3 ubiquitin-protein ligase parkin,GO:0000423,NCBITaxon:9031,mitophagy
E3 ubiquitin-protein ligase parkin,GO:0000423,NCBITaxon:9031,mitophagy
E3 ubiquitin-protein ligase parkin,GO:0061734,NCBITaxon:9031,mitophagy
UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,GO:0000423,NCBITaxon:9031,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:9031,mitophagy
AH domain-containing protein,GO:0000423,NCBITaxon:9031,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:9031,mitophagy
RETREG1-3/ARL6IP-like N-terminal reticulon-homology domain-containing protein,GO:0000423,NCBITaxon:9031,mitophagy
Microtubule-associated proteins 1A/1B light chain 3B,GO:0000423,NCBITaxon:9031,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:9031,mitophagy
